navn,mængde,produkt_id
Burning Bush Pollen,80.34,286
Complete Allergy Medicine,26.02,229
Trazodone Hydrochloride,75.53,201
OXYCODONE AND ACETAMINOPHEN,67.27,282
Sheep Sorrel,17.59,246
safeHands,55.97,207
OXYGEN,74.02,290
Amnesteem,36.51,219
ADVATE,3.08,268
SHAKING SMOOTHIE LEMON MASK,27.55,278
NebuPent,80.11,247
Cefazolin,88.61,283
Good Sense Acid Reducer,47.27,213
ATORVASTATIN CALCIUM,56.11,275
Image Essentials Hair Regrowth Treatment,57.31,252
Oil-Free Acne Cleanser,75.07,203
Hydrocodone Bitartrate and Acetaminophen,93.66,218
PCXX ONE MINTE GEL WATERMELON SPLASH,5.15,203
ALTERNARIA TENUIS ALTERNATA,40.31,201
Ceftibuten,36.42,267
Estradiol,70.39,298
Econazole Nitrate,29.82,255
SPF 30 Sunscreen Tottle w Carabiner,20.37,265
Adalat CC,72.9,218
Cyzone,7.66,253
ZMAX,80.8,282
Vancomycin Hydrochloride,69.28,242
TOPIRAMATE,27.43,273
Wheat Smut,32.81,235
Sulindac,96.67,253
XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,43.54,256
Trifluoperazine Hydrochloride,19.73,275
ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE,53.98,274
care one clearlax,1.27,236
Epirubicin Hydrochloride,29.75,300
Bio Clematis,97.9,248
Complete Menstrual Relief,51.64,233
tizanidine hydrochloride,11.59,255
Simvastatin,16.5,207
iBlanc Restora-Bright,63.4,211
Oxycodone and Acetaminophen,12.57,236
Care One Cold Multi Symptom,73.92,239
DawnMist Deodorant Bar No. 1 1/2,21.64,202
Watermelon,68.91,223
Nulecit,99.5,275
Levothyroxine Sodium,9.88,288
Hydroxyzine Hydrochloride,36.64,280
Yellow Pine,29.46,274
Carbamazepine,51.83,242
Bupropion Hydrochloride,66.46,258
Zyprexa,78.35,245
91 Percent Isopropyl alcohol,59.31,252
Happy Heart,70.24,240
Hydroxyzine Hydrochloride,89.78,292
nitetime,25.56,230
Vanilla cupcake anti-bacterial SCENTED HAND SANITIZER,32.69,257
dg health cough,92.67,242
Molds, Rusts and Smuts, Candida albicans,75.9,279
Hydrochlorothiazide,90.59,280
Weight Gloss,75.61,261
Topiramate,96.11,281
Alka-Seltzer Plus,6.61,257
Angiomax,73.28,233
BALANCED SALT,38.91,262
Instant Hand sanitizer,37.22,223
ENALAPRIL MALEATE,79.75,276
Glipizide,29.57,271
mapap arthritis pain,66.89,249
BareMinerals Golden Tan matte,36.13,208
Citalopram Hydrobromide,56.02,218
Antibacterial Foam,31.37,290
PANCOLD S,10.68,243
Lamotrigine,56.7,251
Intense Anxiety,82.33,252
Type 11 Dizziness Regular,92.04,211
Baby Healing,29.01,256
Food - Plant Source, Apple Malus sp.,29.41,201
heartburn relief,42.27,282
Alhua Huogan Pain Relieving Patch,32.75,202
Hydrocortisone with Aloe,9.6,237
Bee Smart,31.56,285
Premarin,52.28,214
Pioglitazone Hydrochloride,62.19,246
Lucky,91.95,258
Homeopathic Gas Relief Formula,73.28,252
Neo-Synephrine Cold and Sinus,21.69,265
Diprivan,75.53,284
LBEL COULEUR LUXE AMPLIFIER XP,81.76,258
Bite Beauty,16.03,297
Levetiracetam,60.38,284
3 Pack Instant Hand Sanitizer with moisturizers Lavender Scented,17.28,250
Cough and Bronchial with Zinc,77.95,234
Conex,81.27,226
Dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate, and amphetamine sulfate,16.57,256
Ciprofloxacin,53.95,287
Olay Total Effects Pore Minimizing CC,38.92,229
Neutrogena Oil Free Acne Wash,67.95,258
DOUBLE PERFECTION LUMIERE,85.86,210
Mirtazapine,29.18,295
FEXOFENADINE HYDROCHLORIDE,88.85,261
Terrasil Fissures Formula,33.83,209
ERWINAZE,90.83,202
Sunmark z-sleep,21.12,264
Dronabinol,36.86,255
PEANUTS ANTI-CAVITY FLUORIDE TOOTHPASTE,82.71,232
Oxybutynin Chloride,13.75,286
Bisoprolol Fumarate and Hydrochlorothiazide,31.76,201
Quetiapine Fumarate,37.92,221
Ciprofloxacin,36.52,280
Fluconazole,17.42,215
KLOR-CON,97.51,211
Neutrogena Healthy Skin Makeup,46.75,248
Eye Wash,72.7,232
LAMICTAL,7.14,282
Winning Hands Hand Sanitizer,42.82,297
Amlodipine and Benazepril Hydrochloride,64.65,225
Pioglitazone,92.01,201
Natural Testosterone,7.0,270
Hydrogen Peroxide,27.95,271
Vivelle-Dot,76.12,233
BUPROPION HYDROCHLORIDE,87.24,273
good sense pain relief,2.96,298
Activase,73.19,239
Witch Hazel,4.92,280
Topiramate,60.94,206
Dextrose And Sodium Chloride,47.95,209
Molds, Rusts and Smuts, Fusarium vasinfectum,12.97,225
Fire Ant,83.18,276
Alcohol Free Antiseptic,31.04,249
Doxycycline Hyclate,70.05,206
Type 3 Sinus Regular,17.16,261
TRISEPTIN,27.52,255
Benazepril Hydrochloride,51.98,202
Leader Childrens Mucus Relief Cough,16.55,245
Levetiracetam,19.13,240
Liothyronine sodium,72.8,264
Mycophenolate Mofetil,54.46,300
good sense childrens all day allergy,85.22,262
FLAWLESS SKIN TOTAL PROTECTION CONCEALER SPF 25,76.35,272
Trimipramine maleate,85.45,254
REBETOL,89.94,285
Tamsulosin Hydrochloride,51.26,292
Pain Reliever,99.29,239
SORGHUM HALEPENSE POLLEN,47.64,299
Extra Strength Pain Reliever PM,74.63,241
Neutrogena Ultra Sheer Dry Touch Sunblock,87.04,273
CLONIDINE HYDROCHLORIDE,69.51,241
Australian Gold,81.99,288
Toys-R-Us Babies-R-Us Hand Sanitizer,91.94,295
Noxzema,45.6,269
HOUSEFLY FOR DIAGNOSTIC USE ONLY,93.84,203
DulcoGas,78.87,205
Allergic Attack,39.03,275
3LAB Hydra Day SPF 20 Broad Spectrum Water-Based Sunscreen,69.52,202
Physiosol,64.58,258
Lansoprazole,48.44,268
Alcohol Foaming Hand Sanitizer,70.07,233
LBEL,31.57,259
Clonidine,28.27,346
Gabapentin,9.62,390
Iodine Formula Filled Swab,59.99,358
ZERIT,95.96,316
Natures Antibac Orange Vanilla,63.51,357
Santalia Clinical Daily Cleanser,46.21,310
ERGOCALCIFEROL,54.61,304
ESSENTIAL SOLUTION CAVIAR MASK SHEET,75.17,311
Acyclovir,88.35,353
Minocycline hydrochloride,62.68,335
good sense nicotine,86.5,332
Stool Softener and Stimulant Laxative,29.39,335
PNV Prenatal Plus Multivitamin,17.35,384
Trifluoperazine Hydrochloride,97.73,303
Pioglitazone,1.01,388
Dentaforce,3.52,370
MS Contin,25.28,370
Nicotine,79.36,343
family wellness laxative,98.38,359
Lupaneta Pack,24.61,353
Walgreens Capsaicin Hot,92.7,373
Zyclara,77.01,349
Divalproex Sodium,63.14,327
Methylphenidate Hydrochloride,85.8,346
Methocarbamol,90.7,371
Arnica e pl. tota 3,54.07,356
Morphine Sulfate,15.08,398
Rimmel London,44.01,399
Methocarbamol,34.76,362
Levaquin,87.88,393
Proactiv,9.65,344
Chantix,27.38,360
Cuprum Aceticum 3,73.58,400
Sertraline,30.43,335
healthy accents ibuprofen,93.8,396
Ulta Lavender Woods Anti-Bacterial Deep Cleansing,7.86,357
TetraVisc Forte,2.35,369
Levetiracetam,43.53,390
Quetiapine Fumarate,38.86,385
Calcarea Phos Kit Refill,83.84,382
Rivastigmine Tartrate,43.82,328
Itch Relief,46.05,364
equate migraine relief,21.48,336
Morphine Sulfate,37.46,355
Povidone Iodine,16.91,391
bupropion,70.67,387
nighttime cold and flu relief,74.92,343
Citalopram Hydrobromide,9.33,315
omeprazole,40.97,304
Rizatriptan benzoate,98.19,305
Colgate MaxFresh Fresh Mint,28.86,329
Anew Age-Transforming,46.88,311
Hydroxyzine Hydrochloride,29.32,312
Atenolol,8.48,371
Antibacterial Hand Towelettes,80.03,359
Complete Allergy Relief,44.04,394
Fluticasone,99.04,333
Citrus Basil Antibacterial Creamy Hand Wash,19.72,305
Alprazolam,77.94,398
Stool Softener plus stimulant Laxative,30.8,327
GEMCITABINE,1.83,399
Levothyroxine sodium,35.24,305
Fluconazole,59.4,320
OXYGEN,78.01,396
Retin-A,43.19,305
Glipizide,10.81,379
Risperidone,36.8,343
Gabapentin,38.83,393
ENBREL,96.34,325
MOUSE HAIR AND EPITHELIA,75.11,367
ASP,53.98,359
BUTALBITAL, ACETAMINOPHEN AND CAFFEINE,7.25,389
NHS Insomnia 1,17.88,360
Senna S,80.78,393
Pamidronate Disodium,69.76,302
Donepezil hydrochloride,61.49,319
flormar Foundation Sunscreen Broad Spectrum SPF 20 LF10 SAND BEIGE,27.43,305
Diphenhydramine Hydrochloride,57.86,309
IASO White Science EX Toner,83.59,396
AZELEX,65.74,309
LBel,97.04,330
Dronabinol,29.13,309
Thyroid,35.82,374
potassium chloride,21.46,389
healthy accents sleep aid,96.45,341
Sucralfate,43.14,311
Rabeprazole sodium,97.98,329
California Black Walnut,81.43,341
FRAICHEUR THE VERT ANTIPERSPIRANT AND DEODORANT ROLL-ON,70.1,354
THERAZCREAM,97.56,341
Isagel,62.36,395
OHUI Sun Science Sun Block EX plus Beige,59.22,352
Amlodipine Besylate and Benazepril Hydrochloride,45.04,327
Chlordiazepoxide Hydrochloride,22.71,395
Olanzapine,10.86,303
Pravastatin Sodium,58.05,370
Midazolam Hydrochloride,58.86,394
CLE DE PEAU BEAUTE CR COMPACT FOUNDATION,31.81,325
Ampicillin,59.03,355
Oil-Free Acne Wash,25.19,358
retaine PM,57.65,344
Warm Tan Foundation SPF 15,55.71,344
Neptazane,52.52,305
OXYGEN,75.37,385
Acetaminophen,76.31,319
COLLAGEN HD FOUNDATION,11.3,309
childrens pain and fever,62.97,395
Lorac Foundation Golden Tan,32.18,361
equaline nicotine,93.07,356
Trazodone Hydrochloride,6.24,328
Trazodone Hydrochloride,86.75,347
Torsemide,12.37,382
ACALYPHA INDICA,61.36,362
Cetirizine Hydrochloride,55.57,304
ziprasidone hydrochloride,21.84,370
FENTANYL TRANSDERMAL SYSTEM,42.14,360
Passion Fruit Hand Sanitizer,47.64,381
DURAGESIC,89.61,396
PENTAZOCINE HCL AND NALOXONE HCL,84.62,350
PPH,42.27,335
Citalopram,23.25,370
Ionite R,28.54,319
Flumazenil,54.39,319
AQUAFRESH,73.13,380
No7 Stay Perfect Foundation Sunscreen SPF 15 Espresso,29.41,379
Chlamydia Remedy,85.3,305
CITOMIX,68.14,384
Amoxicillin,40.65,385
CAPTOPRIL,90.0,333
cephalexin,24.0,301
Nifedipine,86.13,393
OXYGEN,52.59,358
Treatment Set TS346962,58.65,355
Brighter By Nature SPF 30,53.24,342
Allergy Relief,94.23,302
Calamine Plus Pramoxine HCl,52.97,349
LEUKOSEP - SOLX B ADDITIVE SOLUTION,20.12,382
Anti-Bacterial Hand Sanitizer,12.63,374
Halls,60.18,390
Head and Shoulders,89.11,307
Verapamil Hydrochloride,2.19,396
Neutrogena Ultimate Sport,98.94,324
ANTIPYRINE AND BENZOCAINE,81.1,313
Grama Grass,92.42,388
Robafen AC,80.86,331
Hydrocortisone,30.36,394
Grain and Seed Antigens,95.22,386
Bebulin,25.17,316
Modafinil,68.93,335
BENZTROPINE MESYLATE,68.32,398
SKIN PROTECTANT,62.97,327
TOFRANIL-PM,24.28,396
PAROXETINE,47.23,335
No7 Dual Action Tinted Moisturiser Fair,17.76,370
SMITH BROS WILD CHERRY Throat Drops,50.13,398
Phobia Complex,99.71,346
curacaine,23.69,338
AHC Vital C Complex Mask,90.5,360
ADVAIR HFA,37.24,330
Papaya Mango Antibacterial Hand,37.78,372
terbinafine hydrochloride,83.35,377
ClotrimazOil Antifungal,34.33,306
Metformin Hydrochloride,44.38,310
Warts,32.22,376
Sinus Congestion PE,27.69,322
Lovastatin,1.45,398
Icy Hot Medicated Roll Medium,30.02,359
family wellness acetaminophen,8.59,389
Rivastigmine Tartrate,47.09,375
Fluvoxamine Maleate,14.73,369
Healing Support,80.07,306
MIDODRINE HYDROCHLORIDE,50.41,343
Apricot,7.04,375
Allergy Relief,18.55,387
Metoprolol Succinate,36.03,316
Rexall Nicotine,27.62,301
Depo-Estradiol,64.71,303
AVALIDE,93.32,335
Anticavity Fluoride Rinse,38.26,383
Opahl,74.91,386
Olay Total Effects Blemish Control,51.86,356
CareOne Pain Relief Pain Relief PM,41.62,372
FUSARIUM OXYSPORUM VASINFECTUM,24.64,313
Alba TerraTint Blaze SPF 15 Lip Balm,14.88,306
Chestnut,8.51,352
Dextromethorphan Hydrobromide and Promethazine Hydrochloride,16.53,305
Overwhelmed,59.97,318
Laxative,30.41,338
Tramadol Hydrochloride,62.61,305
Aspirin,76.23,324
equaline all day pain relief,29.09,346
tussin dm,79.19,327
Borago Lavender cum Cupro,24.47,376
Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,34.61,341
Antiseptic Mouth Rinse,23.95,302
Vitamin A and D,42.28,328
BB fit Perfect 24 BB 01,52.68,350
Neomycin and Polymyxin B Sulfates and Hydrocortisone,68.83,396
bioCorneum HC Advanced Scar Supervision Anti-Itch,38.74,397
Imiquimod,1.49,304
Olive Pollen,6.77,311
Body Essentials Hand and Body Moisturizing Formula,97.48,303
Benazepril Hydrochloride,33.61,301
Carbocaine with Neo-Cobefrin,35.5,351
Cerebromax,1.03,322
Red Mulberry,10.42,360
Vytorin,72.32,306
Gucci Face Lustrous Glow Foundation,81.56,311
TREAT AND TINT SKIN PERFECTING BB,62.0,345
Benztropine Mesylate,54.88,305
Ibuprofen,46.51,361
Acetaminophen Sinus Congestion and Pain Daytime,46.82,354
Fentanyl Citrate, Bupivacaine HCl,71.35,374
Liver supplement,9.55,311
Bethanechol Chloride,82.13,310
Sunmark Milk of Magnesia,16.89,343
Bamboo Sap Patch,49.42,363
Donepezil hydrochloride,80.63,329
Olanzapine and Fluoxetine,47.61,336
Motion Sickness Relief,60.11,354
Carvedilol,64.73,351
Equaline Hair Regrowth Treatment,76.41,319
Dialyvite,86.44,310
Hand Sanitizer,16.72,344
PETROLATUM,36.15,368
Clopidogrel,38.06,347
Type 7 Stress Anxiety Regular,67.52,339
Simvastatin,40.09,376
Clean and Clear Advantage,55.24,395
24-Hour All Day Allergy,27.65,376
SECTRAL,30.51,371
Plavix,90.85,334
Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate,37.66,334
CD HydraLife BB Eye Creme Enhancing Sunscreen Eye Illuminator Luminous Beige Broad Spectrum SPF 20,83.76,301
Skin Lightening,46.09,342
Candin,2.62,325
Erythromycin and Benzoyl Peroxide,27.94,329
Divalproex Sodium,34.73,316
CAPRELSA,2.66,319
Lucky,28.75,328
Antispetic,9.99,324
Chloroquine Phosphate,25.41,302
Basic Detox Core Formula,23.25,371
Argentum Nitricum,73.41,385
Chronagesic,57.7,302
TechneScan MAG3,98.69,324
LISINOPRIL AND HYDROCHLOROTHIAZIDE,47.41,346
Adidas,87.65,372
CoughEx Sprinkles,9.02,357
ENALAPRIL MALEATE,36.32,356
Gentle Laxative,14.92,341
Alprazolam,27.0,320
Extra Strength Headache Formula,85.64,301
Blemish Treatment,38.98,400
Shopko Original SPF 4 Lip Balm,92.32,383
Cymbalta,54.79,358
DOBUTAMINE HYDROCHLORIDE,6.02,360
Lisinopril,55.2,326
Ondansetron,3.16,361
superSHOCK,29.7,395
Treatment Set TS348651,78.09,397
Crinone,98.98,388
Hydrocortisone,84.85,308
Good Sense Acid Reducer,26.66,377
Fentanyl Citrate,95.82,370
Corn,72.21,342
Levothyroxine Sodium,86.27,395
Oxcarbazepine,47.45,332
White Hickory,19.17,372
Lorazepam,83.09,387
Isopropyl Alcohol,19.62,364
Instant Hand Sanitizer - Original,94.55,396
Dog Flea,26.78,302
Metoprolol Tartrate,3.23,309
Ear Care,72.07,380
Extra Strength PM Pain Relief,41.73,304
Pravastatin Sodium,67.85,342
Lyrica,25.15,322
East Sycamore,31.41,305
sunmark anti nausea,41.68,313
Niravam,77.06,366
Abstral,29.26,352
Plaquenil,14.78,356
Levetiracetam,53.42,308
Aurum Olibanum Myrrha,48.61,348
Menstrual Complete,9.77,394
Clopidogrel,5.38,391
ALLERGY RELIEF 4 KIDS,95.11,399
Nicotine Transdermal System,95.62,301
FENTANYL TRANSDERMAL SYSTEM,37.18,333
GUNA-IL 10,4.28,359
SENSAI SILK 10 SECONDS AWAKENING ESSENCE,53.29,388
Diphenhydramine,58.54,369
Amazonian Colored Clay Foundation Broad Spectrum SPF 15 Sunscreen,7.82,302
Ibuprofen,13.53,334
Diltiazem Hydrochloride,90.8,397
PREPARATION H COOLING GEL,39.4,306
IASO White Science EX Emulsion,84.35,363
ziprasidone hydrochloride,50.67,334
Betamethasone Valerate,85.65,391
Premarin,38.78,325
Tramadol Hydrochloride,61.72,333
Carbidopa, levodopa and entacapone,59.09,371
Zolpidem Tartrate,29.29,312
Vital Fluid I Platinum Anti Wrinkle Serum,8.53,381
Cough and Cold,44.04,358
Cefuroxime Axetil,55.24,358
Ibuprofen,48.4,312
Hydroxyzine Hydrochloride,49.69,353
Acid Relief,17.13,319
CAPRELSA,69.05,334
Healthy Accents Cold,13.86,370
White Ash,40.22,391
Amoxicillan,82.55,314
METFORMIN HYDROCHLORIDE,67.15,382
Isosorbide,23.93,335
COLIC with GAS,88.56,309
AHC Revitalizing Special Gen Solution,47.97,384
Mark 3,8.67,345
Colgate,71.06,395
Equaline Aspirin,93.72,352
Timoptic,40.81,384
Mucus Relief,77.7,384
Potato,71.92,351
Terbinafine Hydrochloride,71.9,309
Scrub Pine,56.5,349
Bupropion Hydrochloride,10.52,334
RIBASPHERE RibaPak,40.34,345
Sunmark Lice Killing,9.19,333
Atovaquone,30.25,393
Nasal Decongestant,26.71,363
Cepacol,90.75,375
Mestinon,97.73,308
Neomycin and Polymyxin B Sulfates and Hydrocortisone,68.78,388
Isopropyl Alcohol,20.49,308
DDAVP,26.65,345
Nobac Plus AB-F E2,68.99,316
CareOne Mucus Relief,8.73,375
Pomada De La Campana Triple Antibiotic Pain Relief,20.39,313
CHAPSTICK MOISTURIZER,6.99,358
Andalou BB sheer tint with SPF-30,89.52,355
NIGHTTIME SLEEP AID,26.92,370
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,14.94,345
Labetalol Hydrochloride,25.85,320
Dawn Ultra Antibacterial Hand,94.97,400
Alba Kids Mineral Sunblock SPF 30,17.87,352
Doxepin Hydrochloride,16.22,326
Mexiletine Hydrochloride,92.75,344
Potassium Chloride,88.94,381
Amoxicillin,83.74,374
Amlodipine Besylate,82.79,308
Milk of Magnesia Mint,26.74,380
Carvedilol,3.04,369
DELUXE Dish DETERGENT,68.81,364
CTx4 Gel 5000,15.9,364
Fluvoxamine Maleate,49.81,312
GUNA-SINUS NOSE SPRAY,52.34,363
Antiseptic Rinse,75.4,372
fad first aid direct Buffered Eye and Skin,79.57,367
Capsaicin Pain Relief,73.41,320
Indocyanine green,66.58,392
puristics totally ageless spf 15 daily anti-aging,33.39,304
Alba Botanica UN-petroleum Tangerine SPF18 Lip Balm,82.82,399
Opana,51.85,387
Oxygen, Compressed,12.12,384
Simvastatin,14.25,312
Ranitidine,69.21,325
Aspirin,89.87,381
MedPride,87.13,355
ZALTRAP,95.79,308
Q Tapp Cold and Cough,93.7,367
Furosemide,50.94,400
Speed Stick,11.38,384
Canadian Bluegrass,70.87,367
SINUS RELIEF,56.41,308
Restless Legs Relief,67.97,355
PROSHIELD GLOVE,75.29,339
DAY CREAM MATTIFYING HYDRATOR,91.3,382
Donepezil Hydrochloride,75.06,385
Ondansetron,2.09,387
hair regrowth treatment,36.88,382
leader cold and allergy,74.73,382
Savella,48.22,348
Rhizopus oryzae,64.76,353
Lovastatin,38.38,396
Colgate,75.72,354
Virx Instant Hand Sanitizer with security clip,36.7,366
Heparin Sodium,93.44,385
DERMA WHITE,77.55,373
White Hickory,27.35,377
Nitrofurantoin Macrocrystals,95.35,356
Cuprum 17 Special Order,19.11,357
Western Family Whitening,73.63,355
PRENATE Restore,56.03,378
LOESTRIN 1/20,46.61,350
Metadate ER,21.86,325
CARBOplatin,9.03,361
Headache Relief,65.55,329
nicotine mini,36.61,400
Hydralazine Hydrochloride,97.99,321
IMDUR,12.25,305
PDI Alcohol Prep Pad Sterile,42.51,399
Clindamycin Phosphate,32.1,338
Benztropine Mesylate,19.04,357
BOBBI BROWN PROTECTIVE FACE,71.69,311
Flecainide Acetate,26.88,301
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2.43,304
Severe Sinus Congestion,30.2,386
Propranolol Hydrochloride,82.34,374
Diazepam,66.5,328
AZITHROMYCIN,13.07,374
Xarelto,19.16,314
Ferrum Phos,70.33,340
Hydrocodone Bitartrate and Ibuprofen,60.2,363
Indomethacin,39.7,370
Good Neighbor Pharmacy,63.08,392
Bambusa Aurum,89.84,326
Bacitracin Zinc and Polymyxin B Sulfate,89.0,387
Dog Epithelium,82.58,357
Perindopril Erbumine,10.66,335
Old Spice Fresh,97.24,391
INVEGA,16.17,332
Senna-S,84.12,326
Levothyroxine Sodium,74.59,307
Nitro-Time,19.81,306
Tacrolimus,21.17,379
MDSolarSciences SPF40 No Touch Body,38.29,329
Hum CC,57.5,324
Fairly Light Foundation SPF 15,63.28,350
Azithromycin,61.72,390
heartburn relief,65.9,378
Cosmetic and Household Detox,80.04,381
DR DEEP MULTIEMULSION,70.39,365
Potassium Chloride,95.44,311
Tranylcypromine Sulfate,10.86,314
FLUOXETINE,4.15,365
LBEL divine lip gloss SPF 15,36.47,337
Loperamide Hydrochloride,72.08,301
wal tussin dm,49.13,353
Sleep-Aid,72.68,311
Octreotide Acetate,49.5,379
ACTIFIRM RECOVERY TONER,38.39,333
Cordran,22.55,364
RUE21 Peppermint Twist Antibacterial Hand Sanitizer,82.78,319
Severe Cold and Flu,77.55,309
LBEL EFFET PARFAIT Spots Reducing Effect Foundation SPF 18 - MEDIUM 5,96.91,371
Paremyd,18.86,377
Lidocaine Hydrochloride,32.18,383
MEDI-SULTING TOPICAL PAIN RELIEF,52.91,392
smilecare,28.01,312
Aveeno Baby Eczema Therapy Moisturizing,67.04,390
PANTOPRAZOLE SODIUM,81.72,388
Alocane,28.2,393
Listerine Whitening Restoring,54.36,399
Dysport,67.54,355
Minoxidil for Women,20.63,370
Broad Spectrum SPF 30 Sunscreen,14.52,398
Thiothixene,64.13,370
Codeine Sulfate,85.54,328
Lantus,90.84,360
Duloxetine,98.1,376
Vicks Sinex,74.52,324
Zonnic Nicotine Polacrilex,20.43,390
RE9 Advanced,10.44,338
Methocarbamol,7.74,326
Promethazine Hydrochloride,52.26,369
Cimicifuga Racemosa Kit Refill,56.98,357
Sensorcaine,17.2,386
Tirosint,7.56,367
Oat Smut,45.62,302
Prometrium,68.93,326
EPICOCCUM NIGRUM,18.41,357
Glyburide (micronized) and Metformin Hydrochloride,35.7,320
Eve Lom Radiance Lift Foundation SPF 15,87.42,372
Diphenoxylate Hydrochloride and Atropine Sulfate,7.82,394
Amlodipine Besylate,90.53,366
Argentum 8,59.92,374
Pollens - Grasses, Bahia Grass Paspalum notatum,10.53,396
Aspirin,13.52,396
Cymbalta,45.62,331
Trifluoperazine Hydrochloride,31.01,335
Triple-Vitamin Drops with Fluoride,88.47,335
Athletes Foot,10.42,398
Homeopathic Athletes Foot,88.25,363
AcneWorx,91.26,371
Oxcarbazepine,51.99,302
Rest Simply,25.09,394
HORSE HAIR AND DANDER,8.17,399
Palo Verde Pollen,98.64,314
FIRST AID RESEARCH CHAFE AWAY MEDICATED HEALING,76.3,334
Triamcinolone Acetonide,49.78,319
PARNATE,76.76,353
Lidocaine Hydrochloride and Dextrose,76.07,343
Dextrose,57.1,334
Metoclopramide,91.77,308
good sense ibuprofen cold and sinus,88.01,359
Sweet Corn,62.89,386
Oxygen,56.39,378
Tolterodine Tartrate,36.11,356
Hot Ice Soothing Analgesic Gel,50.24,388
equate nitetime,68.83,367
Metoprolol Tartrate,5.7,349
chest congestion,98.4,308
Walgreens Urinary Pain Relief Maximum Strength,50.96,346
flu and severe cold and cough,23.33,317
RISPERDAL CONSTA,35.05,304
Shunga,25.92,354
Perrigo Sodium Sulfacetamide and Sulfur,88.81,333
No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Cool Ivory,59.52,356
Neomycin and Polymyxin B Sulfates and Hydrocortisone,74.78,312
amlodipine besylate,35.14,357
Pomegranate Antibacterial Foaming Hand Wash,65.5,386
Advanced Eye Relief/ Redness Instant Relief,54.18,335
Painful Menstruation,32.56,331
Clindamycin in 5 Percent Dextrose,50.5,400
Slimming Sap Patch,98.34,324
Yellow Hornet hymenoptera venom Venomil Diagnostic,29.44,374
EXTRA STRENGTH WITH NATURAL MENTHOL GLACIER MINT COUGH SUPPRESSANT,75.19,313
equaline nicotine,46.95,332
Acyclovir,77.56,355
ibuprofen pm,27.39,319
Nystatin,78.95,381
Adderall,6.35,366
Quinapril Hydrochloride and Hydrochlorothiazide,71.02,381
Deferoxamine,58.4,395
Mountain Cedar,87.1,343
ZAFIRLUKAST,91.08,302
Pure Gel,91.09,397
Skin Rashes Eczema,83.45,371
Indomethacin extended-release,35.81,347
Pantoprazole Sodium,48.57,307
Emu Essentials Brand Pain Relieving,6.51,393
Night Time Cherry,36.61,387
Acid Reducer,28.92,342
CIPROFLOXACIN,51.46,375
Benztropine Mesylate,25.49,351
BETHANECHOL CHLORIDE,87.93,337
OXYCODONE AND ACETAMINOPHEN,1.06,358
GRAIN MIX,83.88,395
Protriptyline Hydrochloride,87.39,301
shu uemura UV underbase,87.69,375
Famotidine,24.98,327
Tacrolimus,67.5,320
Lovastatin,21.95,399
Gelato Neutral pH,57.65,382
Levalbuterol Hydrochloride,55.98,368
Anti-Diarrheal,88.74,351
Premier Value Bisacodyl Laxative,12.53,388
Tartar control plus,95.31,389
Joint Complex,74.44,336
smart sense aspirin,56.53,384
Metformin Hydrochloride,27.64,324
Klor-Con,95.82,305
Orphenadrine Citrate,53.5,301
Aller-Chlor,88.99,334
MYUNG HAN MI IN DO TWO WAY CAKE,78.68,395
Healthy Makeup,42.36,389
Good Sense Hair Regrowth Treatment,56.41,348
Lisinopril,58.46,369
Belladonna Kit Refill,39.9,379
Fexofenadine Hydrochloride 180,30.74,399
Oxcarbazepine,4.36,345
Prochlorperazine Maleate,73.76,346
Amoxicillin and Clavulanate Potassium,95.29,364
Mupirocin,34.66,389
Sertraline Hydrochloride,26.61,361
XtraCare 2 in 1 Hair Cleanse and Condition,21.02,393
Isosorbide Dinitrate,78.6,323
venlafaxine,23.72,311
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,70.16,394
RANITIDINE,87.72,322
Solar Protection Formula TiZO SPF 35,75.36,337
Natalvirt FLT,37.21,384
levetiracetam,53.17,335
Acetaminophen and Codeine Phosphate,91.07,340
Lorazepam,98.9,370
Fentanyl,56.67,358
GONGJINHYANG SEOL WHITENING,56.92,399
RISPERDAL,56.7,337
Enoxaparin Sodium,18.32,313
Technetium Tc99m Generator,28.52,333
Vida Mia Hand Sanitizer,22.94,351
Vitamin K1,49.42,338
Dutoprol,82.61,364
INTRON A,87.76,396
Prestige,32.2,345
foundcealer 2-in-1 foundation and concealer Broad Spectrum SPF 15 Sunscreen,53.77,317
Norepinephrine bitartrate,99.04,345
Amlodipine Besylate,94.22,392
DulcoGas,92.45,342
Dentastat,52.35,397
Toms Whole Care Spearmint,2.03,383
Dexamethasone Sodium Phosphate,4.63,308
Akten,11.66,312
Colgate,7.26,306
MEFOXIN,3.42,383
Spironolactone,60.11,313
Tizanidine,13.5,364
GUNA-IL 6,69.79,372
Good Sense Pain Relief PM,6.69,391
