id,navn,kostPris,popularitet,salgsPris
503,"Lid - High Heat, Super Clearcake",49.04,3,-1.0
504,Chevere Logscake,54.63,3,-1.0
505,Muffin - Mix - Bran And Maple 15lcake,66.74,5,-1.0
506,Cornish Hencake,48.6,5,-1.0
507,Sugar - Cubescake,72.64,2,-1.0
508,Sauce - Salsacake,24.92,4,-1.0
509,"Soup - Knorr, Veg / Beefcake",25.85,4,-1.0
510,Bandage - Finger Cotscake,18.85,2,-1.0
511,"Juice - Orange, 341 Mlcake",22.16,3,-1.0
512,"Mushroom - Porcini, Drycake",65.06,4,-1.0
513,Pastramicake,28.23,5,-1.0
514,"Sparkling Wine - Rose, Freixenetcake",87.79,2,-1.0
515,Fudge - Chocolate Fudgecake,12.86,5,-1.0
516,Salami - Genovacake,53.7,2,-1.0
517,V8 Petcake,78.84,1,-1.0
518,Bread - Hamburger Bunscake,28.3,5,-1.0
519,Cactus Padscake,84.0,2,-1.0
520,Veal - Osso Buccocake,52.1,3,-1.0
521,Lemonade - Pineapple Passioncake,9.48,4,-1.0
522,Chocolate - Milk Coatingcake,82.16,1,-1.0
523,Mushroom - Criminicake,53.72,2,-1.0
524,"Radish - Black, Winter, Organiccake",90.41,3,-1.0
525,"Soup - Beef, Base Mixcake",97.61,3,-1.0
526,"Bread - Roll, Soft White Roundcake",62.53,2,-1.0
527,Beer - Bluecake,68.31,1,-1.0
528,Wine - Barbera Alba Doc 2001cake,1.88,3,-1.0
529,Flower - Leather Leaf Ferncake,96.56,5,-1.0
530,Zucchini - Yellowcake,17.07,1,-1.0
531,Bacardi Breezer - Tropicalcake,35.44,2,-1.0
532,Spinach - Frozencake,32.74,1,-1.0
533,Vegetable - Basecake,59.71,4,-1.0
534,"Veal - Chops, Split, Frenchedcake",87.01,3,-1.0
535,Sauce - Ranch Dressingcake,45.13,2,-1.0
536,Octopuscake,75.54,1,-1.0
537,Wine - Rioja Campo Viejocake,17.66,2,-1.0
538,Tomato - Greencake,71.7,1,-1.0
539,Muffin Mix - Raisin Brancake,57.83,5,-1.0
540,"Shrimp - 16 - 20 Cooked, Peeledcake",48.66,4,-1.0
541,Butter Balls Saltedcake,66.69,3,-1.0
542,Ham - Cookedcake,98.42,2,-1.0
543,Sobe - Orange Carrotcake,26.25,5,-1.0
544,"Oil - Truffle, Blackcake",43.3,3,-1.0
545,Pail For Lid 1537cake,17.22,2,-1.0
546,Lemon Balm - Freshcake,20.7,5,-1.0
547,Wine - Ruffino Chianti Classicocake,26.17,2,-1.0
548,Roe - White Fishcake,50.04,2,-1.0
549,Wine - George Duboeuf Rosecake,34.71,2,-1.0
550,Eel - Smokedcake,86.68,2,-1.0
551,Bread - Flat Breadcake,30.27,2,-1.0
552,Juice - Cranberry 284mlcake,72.37,4,-1.0
553,"Sauce - Soya, Darkcake",72.3,3,-1.0
554,Onions Granulatedcake,2.17,4,-1.0
555,"Mushrooms - Black, Driedcake",20.74,2,-1.0
556,Compound - Strawberrycake,5.05,2,-1.0
557,Icecream - Dibscake,38.77,3,-1.0
558,"Soup - Knorr, Chicken Gumbocake",99.4,5,-1.0
559,Wine - Prosecco Valdobiaddenecake,39.49,5,-1.0
560,Sauce - Roseecake,52.83,2,-1.0
561,Squid - Breadedcake,18.85,4,-1.0
562,Beer - Blue Lightcake,97.71,1,-1.0
563,Silicone Paper 16.5x24cake,55.37,3,-1.0
564,Cocoa Feuilletinecake,38.55,3,-1.0
565,"Pork - Ham, Virginiacake",93.13,4,-1.0
566,Sage - Freshcake,38.3,5,-1.0
567,Pastry - Apple Largecake,18.65,2,-1.0
568,Kumquatcake,47.59,2,-1.0
569,"Soup - Canadian Pea, Dry Mixcake",49.48,5,-1.0
570,Squeeze Bottlecake,34.07,4,-1.0
571,Steam Pan Full Lidcake,32.52,4,-1.0
572,Stainless Steel Cleaner Visioncake,50.44,2,-1.0
573,Wine - Vineland Estate Semi - Drycake,94.01,2,-1.0
574,Bread - Mini Hamburger Buncake,71.56,1,-1.0
575,Cheese - Bakers Cream Cheesecake,54.08,3,-1.0
576,Apple - Northern Spycake,69.63,1,-1.0
577,"Split Peas - Green, Drycake",92.42,1,-1.0
578,Crab - Meatcake,28.45,5,-1.0
579,Bagel - Whole White Sesamecake,6.97,1,-1.0
580,Berry Bruleecake,77.05,1,-1.0
581,Soup Campbells Mexicali Tortillacake,92.26,2,-1.0
582,Chocolate - Chips Compoundcake,99.83,3,-1.0
583,Potatoes - Parissiennecake,34.02,4,-1.0
584,Spice - Greek 1 Stepcake,13.96,1,-1.0
585,Boogiescake,44.63,5,-1.0
586,Corn Shootscake,64.02,2,-1.0
587,Salt - Tablecake,64.02,3,-1.0
588,Soup - Base Broth Chixcake,31.61,5,-1.0
589,"Soup - Knorr, Veg / Beefcake",8.31,1,-1.0
590,Lemon Balm - Freshcake,15.15,2,-1.0
591,Peach - Freshcake,33.43,1,-1.0
592,Orange - Bloodcake,19.82,1,-1.0
593,Mikes Hard Lemonadecake,51.66,4,-1.0
594,Cabbage Rollcake,16.24,4,-1.0
595,"Mushroom - Enoki, Freshcake",26.13,4,-1.0
596,Broom Handlecake,46.63,1,-1.0
597,Veal - Bonescake,19.65,4,-1.0
598,Coffee Beans - Chocolatecake,54.69,4,-1.0
599,"Artichoke - Hearts, Cannedcake",11.65,1,-1.0
600,"Napkin - Beverge, White 2 - Plycake",97.29,5,-1.0
601,"Pail - 4l White, With Handlecake",81.83,3,-1.0
602,"Pork - Back, Short Cut, Bonelesscake",17.31,2,-1.0
603,V8 - Tropical Blendcake,80.29,2,-1.0
604,"Beans - Black Bean, Drycake",8.13,1,-1.0
605,Salami - Genovacake,29.94,1,-1.0
606,Sugar - Icingcake,76.31,2,-1.0
607,Carbonated Water - Cherrycake,50.45,4,-1.0
608,Hagen Daza - Dk Choocolatecake,6.01,1,-1.0
609,Dc - Sakura Fucake,69.21,1,-1.0
610,Plums - Redcake,11.31,5,-1.0
611,"Juice - Clam, 46 Ozcake",32.77,2,-1.0
612,Bread Crumbs - Japanese Stylecake,27.34,3,-1.0
613,"Fish - Atlantic Salmon, Coldcake",65.17,1,-1.0
614,Island Oasis - Strawberrycake,36.44,5,-1.0
615,Sugar - Splenda Sweetenercake,97.58,1,-1.0
616,"Pasta - Orzo, Drycake",24.7,4,-1.0
617,Soup - Campbells Asian Noodlecake,28.45,5,-1.0
618,Alize Red Passioncake,85.16,4,-1.0
619,Chicken - Whole Roastingcake,61.19,2,-1.0
620,Bag - Clear 7 Lbcake,28.02,1,-1.0
621,Lentils - Green Le Puycake,18.8,1,-1.0
622,Olives - Nicoisecake,45.24,1,-1.0
623,Cheese - Grana Padanocake,1.38,1,-1.0
624,Temperature Recording Stationcake,12.12,3,-1.0
625,Cake - Cake Sheet Macarooncake,36.43,1,-1.0
626,Squash - Sunburstcake,12.11,2,-1.0
627,Pie Shell - 9cake,26.78,5,-1.0
628,Wine - Malbec Trapiche Reservecake,76.94,4,-1.0
629,Bamboo Shoots - Slicedcake,98.81,1,-1.0
630,Wine - Trimbach Pinot Blanccake,7.11,2,-1.0
631,Glucosecake,88.39,5,-1.0
632,Vector Energy Barcake,13.67,4,-1.0
633,Appetizer - Crab And Briecake,16.87,3,-1.0
634,Irish Cream - Butterscotchcake,67.22,4,-1.0
635,"Wine - Niagara,vqa Reislingcake",86.18,2,-1.0
636,Cup - Paper 10oz 92959cake,71.13,4,-1.0
637,Cheese - Swisscake,46.59,2,-1.0
638,Bread Crumbs - Pankocake,5.89,2,-1.0
639,Wanton Wrapcake,40.36,2,-1.0
640,Beef - Texas Style Burgercake,94.41,5,-1.0
641,Milk - 2%cake,59.33,1,-1.0
642,"Gingerale - Schweppes, 355 Mlcake",72.64,1,-1.0
643,"Nut - Pine Nuts, Wholecake",9.97,1,-1.0
644,Beans - Butter Lrg Limacake,57.82,4,-1.0
645,Sauce - Vodka Blushcake,44.02,4,-1.0
646,Grapefruit - Whitecake,59.4,5,-1.0
647,Ecolab - Power Fusioncake,98.07,4,-1.0
648,Milkettes - 2%cake,81.59,4,-1.0
649,Beer - Paulaner Hefeweissecake,4.03,4,-1.0
650,Cake - Pancakecake,5.53,1,-1.0
651,Towels - Paper / Kraftcake,95.11,4,-1.0
652,Sherbet - Raspberrycake,79.81,4,-1.0
653,"Brownies - Two Bite, Chocolatecake",31.93,5,-1.0
654,Pepper - Jalapenocake,18.14,1,-1.0
655,Wine - Gewurztraminer Pierrecake,26.84,3,-1.0
656,Nantucket - 518mlcake,60.35,1,-1.0
657,Pastry - Cherry Danish - Minicake,74.49,1,-1.0
658,Pear - Pricklycake,70.43,5,-1.0
659,V8 - Tropical Blendcake,4.58,4,-1.0
660,Appetizer - Mango Chevrecake,94.71,3,-1.0
661,Chocolate - Liqueur Cups With Foilcake,98.44,4,-1.0
662,Bread - Assorted Rollscake,1.2,5,-1.0
663,"Turkey - Whole, Freshcake",69.28,1,-1.0
664,Alize Sunsetcake,2.85,2,-1.0
665,Calypso - Pineapple Passioncake,53.16,1,-1.0
666,Appetizer - Seafood Assortmentcake,67.79,2,-1.0
667,Cake - French Pear Tartcake,47.07,1,-1.0
668,Water - Perriercake,36.22,1,-1.0
669,Aspic - Lightcake,24.22,5,-1.0
670,Bread - English Muffincake,39.45,3,-1.0
671,"Salmon - Smoked, Slicedcake",40.29,3,-1.0
672,Pears - Bartlettcake,19.03,5,-1.0
673,Capers - Pickledcake,88.34,1,-1.0
674,Chicken - Leg / Back Attachcake,50.56,2,-1.0
675,Lobster - Basecake,14.28,5,-1.0
676,Glucosecake,16.61,3,-1.0
677,Sauce - Mintcake,73.94,2,-1.0
678,Sage - Groundcake,34.78,2,-1.0
679,Tea - Herbal Sweet Dreamscake,10.23,1,-1.0
680,Soup - Campbells Tomato Raviolicake,43.15,1,-1.0
681,Straw - Regularcake,58.33,3,-1.0
682,Coriander - Seedcake,73.84,2,-1.0
683,Bagelerscake,43.07,4,-1.0
684,Cookie Dough - Doublecake,65.04,4,-1.0
685,Eggplant - Regularcake,40.39,4,-1.0
686,Bread - White Epi Baguettecake,99.59,2,-1.0
687,Clementinecake,15.51,5,-1.0
688,"Sauce - Bernaise, Mixcake",34.81,1,-1.0
689,Steampan - Foilcake,89.22,3,-1.0
690,Vinegar - Red Winecake,67.4,3,-1.0
691,Cheese - Goudacake,34.96,5,-1.0
692,Beer - True North Lagercake,12.2,3,-1.0
693,Cognac - Courvaisiercake,58.16,5,-1.0
694,"Juice - Tomato, 48 Ozcake",94.78,4,-1.0
695,"Octopus - Baby, Cleanedcake",73.99,3,-1.0
696,Curry Paste - Madrascake,25.2,3,-1.0
697,Thyme - Freshcake,8.6,3,-1.0
698,Mussels - Frozencake,40.4,5,-1.0
699,"Shrimp - 21/25, Peel And Devienedcake",84.43,3,-1.0
700,Cheese - Ermite Bleucake,75.09,3,-1.0
701,Table Cloth 54x72 Colourcake,60.33,5,-1.0
702,"Salmon - Atlantic, No Skincake",28.38,5,-1.0
703,Oven Mitt - 13 Inchcake,73.53,4,-1.0
704,"Oil - Truffle, Blackcake",77.48,2,-1.0
705,Pike - Frozen Filletcake,42.06,5,-1.0
706,Pork - Insidecake,18.68,3,-1.0
707,Goat - Legcake,13.12,1,-1.0
708,Tea - Black Currantcake,55.69,1,-1.0
709,Mussels - Frozencake,52.74,3,-1.0
710,Pastry - Apple Muffins - Minicake,59.02,1,-1.0
711,Ostrich - Prime Cutcake,46.15,4,-1.0
712,Pate - Peppercorncake,67.13,1,-1.0
713,Plate Pie Foilcake,42.05,4,-1.0
714,Danishes - Mini Cheesecake,67.85,1,-1.0
715,Cinnamon - Groundcake,37.54,1,-1.0
716,Calaloocake,16.05,1,-1.0
717,Foam Tray S2cake,15.41,5,-1.0
718,Laundry - Bag Clothcake,59.0,4,-1.0
719,Duck - Legscake,91.66,3,-1.0
720,Pork - Livercake,31.53,2,-1.0
721,"Wine - Harrow Estates, Vidalcake",49.46,5,-1.0
722,Jolt Cola - Red Eyecake,18.44,1,-1.0
723,Olive - Spread Tapenadecake,34.33,4,-1.0
724,"Yeast - Fresh, Fleischmancake",92.14,2,-1.0
725,"Chocolate - Pistoles, Whitecake",63.23,5,-1.0
726,Sauce - Caesar Dressingcake,39.44,2,-1.0
727,Tomatoes Tear Drop Yellowcake,80.62,4,-1.0
728,Gelatine Powdercake,70.36,2,-1.0
729,Heavy Duty Dust Pancake,33.44,5,-1.0
730,Cheese - Roquefort Pappilloncake,17.51,5,-1.0
731,Potatoes - Idaho 100 Countcake,20.8,3,-1.0
732,Chips - Miss Vickiescake,26.61,1,-1.0
733,Bread - Flat Breadcake,1.95,3,-1.0
734,Versatainer Nc - 8288cake,56.3,5,-1.0
735,"Salmon - Atlantic, Fresh, Wholecake",76.65,3,-1.0
736,Cake Sheet Combo Party Packcake,93.7,3,-1.0
737,Mayonnaisecake,16.09,1,-1.0
738,Cardamon Seed / Podcake,37.85,3,-1.0
739,V8 - Tropical Blendcake,94.61,5,-1.0
740,Banana Turningcake,61.63,3,-1.0
741,Garam Masala Powdercake,70.08,5,-1.0
742,Cheese - Goat With Herbscake,23.95,1,-1.0
743,Bar Nature Valleycake,70.58,2,-1.0
744,Juice - Cranberry 284mlcake,72.04,1,-1.0
745,Wine - Duboeuf Beaujolaiscake,63.82,1,-1.0
746,Ecolab - Lime - A - Way 4/4 Lcake,61.85,4,-1.0
747,Lotus Rootcake,33.31,1,-1.0
748,Nantucket Apple Juicecake,10.54,4,-1.0
749,"Beef - Rib Roast, Caplesscake",93.01,1,-1.0
750,Steampan - Lid For Half Sizecake,85.93,1,-1.0
751,Cookies Almond Hazelnutcake,35.55,3,-1.0
752,Pork - Suckling Pigcake,52.96,4,-1.0
753,Kaffir Lime Leavescake,78.56,3,-1.0
754,Appetiser - Boughtcake,23.7,5,-1.0
755,Salt - Seasonedcake,50.16,3,-1.0
756,Bread - Focaccia Quartercake,1.72,5,-1.0
757,Piping - Bags Quiznacake,54.41,3,-1.0
758,"Tarragon - Primerba, Pastecake",98.1,1,-1.0
759,Soup - Campbells Chilicake,61.13,5,-1.0
760,"Wine - Mas Chicet Rose, Vintagecake",11.73,3,-1.0
761,Oven Mitts - 15 Inchcake,45.24,2,-1.0
762,Flour - Teffcake,96.75,3,-1.0
763,Wine - Chardonnay Mondavicake,37.91,4,-1.0
764,Cheese - Okacake,26.34,5,-1.0
765,Tofu - Firmcake,42.89,4,-1.0
766,Ham - Virginiacake,22.4,5,-1.0
767,Vinegar - Ricecake,29.74,5,-1.0
768,Quail - Jumbocake,99.98,3,-1.0
769,"Shrimp - 16 - 20 Cooked, Peeledcake",58.03,5,-1.0
770,Blueberries - Frozencake,75.27,4,-1.0
771,Raisin - Goldencake,97.21,5,-1.0
772,Salt - Tablecake,25.29,5,-1.0
773,Peas Snowcake,45.68,3,-1.0
774,Paper Towel Touchlesscake,67.36,5,-1.0
775,Straw - Regularcake,75.7,1,-1.0
776,Thyme - Freshcake,13.96,5,-1.0
777,Dasheencake,47.74,5,-1.0
778,Cheese - Parmesan Cubescake,91.21,5,-1.0
779,Jam - Apricotcake,22.03,3,-1.0
780,"Wine - Red, Lurton Merlot Decake",12.15,2,-1.0
781,Container - Foam Dixie 12 Ozcake,3.5,5,-1.0
782,Napkin Colourcake,95.66,4,-1.0
783,Beer - Blue Lightcake,22.16,5,-1.0
784,"Lamb - Racks, Frenchedcake",44.6,5,-1.0
785,Cheese - St. Paulincake,96.19,2,-1.0
786,Bay Leafcake,81.48,2,-1.0
787,Butter Sweetcake,81.78,1,-1.0
788,Turnip - Minicake,44.21,3,-1.0
789,Meldea Green Tea Liquorcake,21.46,5,-1.0
790,Icecream - Dstk Cml And Fdgcake,51.31,5,-1.0
791,Beer - Creemorecake,37.42,4,-1.0
792,Beef - Tenderloin - Aacake,79.91,3,-1.0
793,"Beef - Bones, Cut - Upcake",66.82,2,-1.0
794,Waffle Stixcake,44.92,3,-1.0
795,Cookie - Oreo 100x2cake,28.26,2,-1.0
796,Melon - Cantaloupecake,80.32,3,-1.0
797,Chives - Freshcake,74.63,5,-1.0
798,Honey - Liquidcake,54.45,2,-1.0
799,Apple - Northern Spycake,26.16,1,-1.0
800,"Lid - High Heat, Super Clearcake",87.22,5,-1.0
801,Syrup - Monin - Passion Fruitcake,98.34,2,-1.0
802,Icecream Bar - Del Montecake,72.86,2,-1.0
803,Stock - Fishcake,61.87,5,-1.0
804,Pastry - Banana Muffin - Minicake,3.17,1,-1.0
805,"Wine - White, Chardonnaycake",26.42,3,-1.0
806,Water - Aquafina Vitamincake,19.49,5,-1.0
807,Bacardi Mojitocake,81.75,2,-1.0
808,Frangelicocake,1.6,1,-1.0
809,Chocolate Liqueur - Godet Whitecake,43.18,4,-1.0
810,Cleaner - Lime Awaycake,78.31,1,-1.0
811,Beer - Heinekincake,57.26,4,-1.0
812,Cheese - Goatcake,91.19,4,-1.0
813,Wine - Guy Sage Tourainecake,35.22,3,-1.0
814,Bread Crumbs - Japanese Stylecake,13.97,5,-1.0
815,Mustard - Dijoncake,64.75,1,-1.0
816,"Sauce - Bernaise, Mixcake",37.93,2,-1.0
817,Kumquatcake,14.58,1,-1.0
818,Apricots - Driedcake,88.68,3,-1.0
819,Vinegar - Sherrycake,50.26,4,-1.0
820,Pastry - Choclate Bakedcake,18.9,1,-1.0
821,Wine - Wyndham Estate Bin 777cake,57.9,1,-1.0
822,"Seedlings - Mix, Organiccake",47.65,2,-1.0
823,Chinese Foods - Thick Noodlescake,64.8,4,-1.0
824,Wine - Marlbourough Sauv Blanccake,78.75,2,-1.0
825,Container Clear 8 Ozcake,15.67,2,-1.0
826,Wine - Shiraz South Easterncake,84.64,4,-1.0
827,"Mushroom - Enoki, Freshcake",64.9,2,-1.0
828,Pepsi - 600mlcake,35.15,1,-1.0
829,Veal - Osso Buccocake,7.29,5,-1.0
830,"Stock - Beef, Browncake",82.46,5,-1.0
831,"Beef - Ox Tail, Frozencake",29.12,5,-1.0
832,Rappini - Andy Boycake,89.85,5,-1.0
833,Beans - Frenchcake,57.72,2,-1.0
834,Bread - Petit Baguettecake,40.72,4,-1.0
835,Mince Meat - Fillingcake,38.54,3,-1.0
836,"Veal - Round, Eye Ofcake",63.67,5,-1.0
837,Plasticknivesblackcake,70.6,1,-1.0
838,Muffin Batt - Choc Chkcake,81.49,1,-1.0
839,Beef - Sushi Flat Iron Steakcake,55.9,4,-1.0
840,Devonshire Creamcake,54.15,4,-1.0
841,Cheese - Grie Des Champcake,46.76,2,-1.0
842,"Pepper - Green, Chilicake",1.43,1,-1.0
843,Bread - Burgercake,39.92,2,-1.0
844,Tea - Lemon Green Teacake,51.2,5,-1.0
845,Vinegar - Balsamiccake,14.53,1,-1.0
846,Tea - Grapefruit Green Teacake,9.95,5,-1.0
847,"Apple - Delicious, Goldencake",28.65,4,-1.0
848,Butter Ripple - Phillipscake,58.45,2,-1.0
849,"Halibut - Whole, Freshcake",60.97,1,-1.0
850,Ketchup - Tomatocake,57.35,2,-1.0
851,Cake - French Pear Tartcake,26.78,3,-1.0
852,Puree - Passion Fruitcake,67.83,1,-1.0
853,Chocolate Bar - Reese Piecescake,55.29,1,-1.0
854,V8 - Berry Blendcake,89.51,4,-1.0
855,Chives - Freshcake,46.9,5,-1.0
856,Muffin Batt - Choc Chkcake,47.47,3,-1.0
857,Sausage - Chorizocake,96.88,2,-1.0
858,Spice - Peppercorn Melangecake,74.88,1,-1.0
859,"Cup - 6oz, Foamcake",84.86,1,-1.0
860,"Tabasco Sauce, 2 Ozcake",49.1,5,-1.0
861,Lime Cordial - Rosescake,33.33,3,-1.0
862,"Stock - Beef, Browncake",52.15,2,-1.0
863,Cheese - Swiss Slicedcake,61.11,4,-1.0
864,Milk - Homocake,58.44,2,-1.0
865,Appetizer - Asian Shrimp Rollcake,63.48,2,-1.0
866,Sauce - Salsacake,58.84,4,-1.0
867,"Syrup - Monin, Swiss Choclatecake",95.91,4,-1.0
868,Energy Drink Bawlscake,82.72,4,-1.0
869,Pepper - Red Chilicake,38.38,1,-1.0
870,Gatorade - Orangecake,99.91,1,-1.0
871,Spinach - Babycake,93.15,4,-1.0
872,Ginsing - Freshcake,2.87,2,-1.0
873,Kellogs Raisan Bran Barscake,65.39,2,-1.0
874,Pepper - Scotch Bonnetcake,22.31,1,-1.0
875,Rabbit - Frozencake,24.74,5,-1.0
876,Plaintaincake,70.7,3,-1.0
877,Horseradish - Preparedcake,41.53,1,-1.0
878,Puree - Passion Fruitcake,51.41,1,-1.0
879,Mushroom - White Buttoncake,68.81,1,-1.0
880,Nut - Pumpkin Seedscake,9.5,1,-1.0
881,Pastry - Apple Largecake,8.03,2,-1.0
882,Cattail Heartscake,38.57,5,-1.0
883,"Oil - Shortening,liqud, Frycake",51.82,3,-1.0
884,Samosa - Vegcake,25.06,1,-1.0
885,Snapple Lemon Teacake,55.6,1,-1.0
886,Tea - Grapefruit Green Teacake,12.07,3,-1.0
887,Eggrollcake,84.31,4,-1.0
888,Halibut - Fletchescake,57.27,2,-1.0
889,Curry Paste - Green Masalacake,42.97,4,-1.0
890,"Wine - White, Pinot Grigiocake",92.53,5,-1.0
891,Soup V8 Roasted Red Peppercake,45.62,1,-1.0
892,"Coke - Diet, 355 Mlcake",89.23,4,-1.0
893,Icecream - Dstk Super Conecake,69.36,5,-1.0
894,Ostrich - Prime Cutcake,66.29,4,-1.0
895,Soup - Cream Of Broccolicake,6.52,1,-1.0
896,Bouillion - Fishcake,70.41,3,-1.0
897,"Juice - V8, Tomatocake",99.86,3,-1.0
898,"Wine - Magnotta - Red, Bacocake",62.84,2,-1.0
899,Capers - Ox Eye Daisycake,7.71,2,-1.0
900,"Crab - Claws, 26 - 30cake",9.37,3,-1.0
901,Island Oasis - Magarita Mixcake,85.04,4,-1.0
902,Worcestershire Saucecake,2.54,1,-1.0
903,Sage Ground Wibergcake,64.68,4,-1.0
904,Towels - Paper / Kraftcake,68.77,5,-1.0
905,Graham Cracker Mixcake,55.36,1,-1.0
906,Aspic - Lightcake,17.64,3,-1.0
907,Towels - Paper / Kraftcake,38.61,1,-1.0
908,Cocoa Powder - Dutchedcake,47.87,2,-1.0
909,"Tendrils - Baby Pea, Organiccake",17.52,5,-1.0
910,Chips - Assortedcake,74.79,5,-1.0
911,Longos - Chicken Wingscake,29.03,2,-1.0
912,Chick Peas - Driedcake,28.34,3,-1.0
913,Monkfish Fresh - Skin Offcake,80.43,1,-1.0
914,Apple - Northern Spycake,10.5,5,-1.0
915,Corn Mealcake,2.05,3,-1.0
916,Pepperoni Slicescake,69.91,5,-1.0
917,"Beans - Kidney, Red Drycake",83.01,2,-1.0
918,Wine - Jackson Triggs Okonagancake,35.67,2,-1.0
919,Muffin Batt - Carrot Spicecake,80.1,3,-1.0
920,Crush - Cream Sodacake,68.42,2,-1.0
921,"Veal - Round, Eye Ofcake",35.38,2,-1.0
922,Flower - Carnationscake,89.1,4,-1.0
923,Pike - Frozen Filletcake,59.92,5,-1.0
924,Table Cloth 90x90 Colourcake,69.48,2,-1.0
925,"Lamb - Leg, Dicedcake",74.02,2,-1.0
926,Cape Capensis - Filletcake,82.42,5,-1.0
927,Truffle Cups - White Papercake,96.79,1,-1.0
928,Appetizer - Southwesterncake,21.2,2,-1.0
929,"Pepper - White, Groundcake",55.93,2,-1.0
930,Roe - Flying Fishcake,3.04,1,-1.0
931,Blue Curacao - Marie Brizardcake,7.71,2,-1.0
932,Lid - 3oz Med Reccake,22.97,1,-1.0
933,Steam Pan - Half Size Deepcake,36.78,5,-1.0
934,Wine - Barossa Valley Estatecake,71.35,4,-1.0
935,Soup - Tomato Mush. Florentinecake,64.13,1,-1.0
936,Cape Capensis - Filletcake,84.83,4,-1.0
937,"Yogurt - Banana, 175 Grcake",94.62,4,-1.0
938,"Nut - Pine Nuts, Wholecake",51.41,4,-1.0
939,Wine - Hardys Bankside Shirazcake,44.13,3,-1.0
940,"Wine - Mas Chicet Rose, Vintagecake",54.68,3,-1.0
941,"Cheese - Brie, Triple Cremecake",92.99,5,-1.0
942,Chocolate Eclairscake,60.13,1,-1.0
943,V8 Splash Strawberry Kiwicake,11.9,1,-1.0
944,"Marjoram - Dried, Rubbedcake",96.28,1,-1.0
945,Beef - Sushi Flat Iron Steakcake,87.63,4,-1.0
946,Cabbage - Redcake,12.96,5,-1.0
947,Bulgarcake,94.23,4,-1.0
948,"Oil - Olive, Extra Virgincake",37.91,2,-1.0
949,Shopper Bag - S - 4cake,97.58,5,-1.0
950,Truffle Shells - White Chocolatecake,15.9,3,-1.0
951,Wine - Black Tower Qrcake,3.73,1,-1.0
952,Prunes - Pittedcake,2.87,3,-1.0
953,Wine - Sogrape Mateus Rosecake,86.52,4,-1.0
954,External Suppliercake,2.3,1,-1.0
955,"Chocolate - Semi Sweet, Caletscake",54.77,2,-1.0
956,Pork - Kidneycake,93.57,2,-1.0
957,"Beef - Ox Tongue, Pickledcake",23.9,2,-1.0
958,Energy - Boo - Koocake,17.4,4,-1.0
959,Tea - Camomelecake,70.61,5,-1.0
960,Cumin - Wholecake,72.15,5,-1.0
961,Absolut Citroncake,6.81,5,-1.0
962,Table Cloth 54x72 Whitecake,94.15,3,-1.0
963,Muffin - Mix - Creme Brule 15lcake,91.18,4,-1.0
964,Pate Pans Yellowcake,6.92,3,-1.0
965,Spinach - Babycake,58.15,3,-1.0
966,"Napkin - Cocktail,beige 2 - Plycake",16.08,2,-1.0
967,Bread - English Muffincake,61.94,3,-1.0
968,Jolt Cola - Red Eyecake,6.63,4,-1.0
969,"Soup - Knorr, Ministronecake",15.86,3,-1.0
970,Carbonated Water - Blackberrycake,80.54,4,-1.0
971,Energy Drink Bawlscake,85.79,5,-1.0
972,Longos - Grilled Veg Sandwichescake,82.13,1,-1.0
973,Haggiscake,32.41,5,-1.0
974,Gatorade - Xfactor Berrycake,76.37,3,-1.0
975,Vinegar - Red Winecake,39.09,4,-1.0
976,Russian Princecake,86.33,2,-1.0
977,"Bread - Rolls, Corncake",68.25,3,-1.0
978,Veal - Bonescake,75.36,4,-1.0
979,Sunflower Seed Rawcake,20.38,5,-1.0
980,Dried Figscake,30.62,4,-1.0
981,Cabbage - Savoycake,80.67,5,-1.0
982,Table Cloth 91x91 Colourcake,81.66,2,-1.0
983,Cheese - Montery Jackcake,9.96,3,-1.0
984,"Tendrils - Baby Pea, Organiccake",87.81,4,-1.0
985,Gatorade - Orangecake,82.1,5,-1.0
986,Wine - Cotes Du Rhonecake,58.1,3,-1.0
987,Ecolab - Medallioncake,38.92,3,-1.0
988,Soup Campbells Turkey Veg.cake,71.01,3,-1.0
989,Lamb - Rackcake,28.3,4,-1.0
990,"Gingerale - Schweppes, 355 Mlcake",77.82,5,-1.0
991,"Pasta - Cappellini, Drycake",47.6,1,-1.0
992,Vinegar - Sherrycake,14.11,5,-1.0
993,Tart - Pecan Butter Squarescake,77.35,1,-1.0
994,Bok Choy - Babycake,65.59,3,-1.0
995,Wine - Jackson Triggs Okonagancake,38.36,5,-1.0
996,Flour Pastry Super Finecake,75.57,3,-1.0
997,Eggs - Extra Largecake,81.45,3,-1.0
998,Barramundicake,93.94,5,-1.0
999,Shichimi Togarashi Peppeerscake,54.42,2,-1.0
1000,"Veal - Tenderloin, Untrimmedcake",90.23,1,-1.0
